indice_interno,clase,archivo,distribucion,error_final,forma_w_final,forma_h3,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos
48,N,New_N_049.wav,10-6-4,0.2884728653585408,126x4,4x212,10,0.04970289729344069,0.3935088885942848,0.012889199999335688,6,0.19965954436582864,0.3091783064378613,0.004457099999854108,4,0.38005714016812053,0.19733550138965572,0.003596799997467315
49,N,New_N_050.wav,10-6-4,0.23366575349708188,126x4,4x212,10,0.0538879580918445,0.38914938619463724,0.01099160000012489,6,0.26331920121017544,0.27648433963165847,0.005420400000730297,4,0.330117594231553,0.20046357466832423,0.0036729999992530793
50,N,New_N_051.wav,10-6-4,0.23904884054415984,126x4,4x212,10,0.05578795080072438,0.3966518821736328,0.013155900000128895,6,0.26453745855036787,0.15103711943176937,0.0041771000032895245,4,0.4494870906794029,0.1683119750188585,0.0036446999984036665
51,N,New_N_052.wav,10-6-4,0.20980381237912385,126x4,4x212,10,0.06493816197906688,0.42221274708986184,0.013068199998087948,6,0.23783346185210724,0.24594619198965093,0.004626300000381889,4,0.3520433610298031,0.24446911830558227,0.004395899999508401
52,N,New_N_053.wav,10-6-4,0.25326256294180827,126x4,4x212,10,0.05337359734544115,0.4006151913724988,0.011454300001787487,6,0.2400285214870093,0.18284666891374496,0.004830099998798687,4,0.38366759674145934,0.16214604480935962,0.0034291000010853168
53,N,New_N_054.wav,10-6-4,0.25413044917963584,126x4,4x212,10,0.05077760778614856,0.40928707970884326,0.012588499997946201,6,0.18456946435137497,0.13275250414585252,0.005654500000673579,4,0.397026546066576,0.10530509005031939,0.003431199998885859
54,N,New_N_055.wav,10-6-4,0.25172314732307005,126x4,4x212,10,0.06339604126255148,0.3927596513194669,0.011377599999832455,6,0.19615596593316217,0.2272548588831187,0.004689900000812486,4,0.39818851060265087,0.23528009991194418,0.003744000001461245
55,N,New_N_056.wav,10-6-4,0.24492446699111386,126x4,4x212,10,0.043645834572256896,0.3795292458798651,0.01255979999768897,6,0.21495979913749172,0.20788619774083586,0.004098600002180319,4,0.2724811453031983,0.22347436152193548,0.003396799998881761
56,N,New_N_057.wav,10-6-4,0.2510555711146141,126x4,4x212,10,0.0471635505732697,0.3852302330152821,0.012981799998669885,6,0.15038851054703622,0.20263334787020035,0.004543800001556519,4,0.26713400993747366,0.19532865865549742,0.0036777999994228594
57,N,New_N_058.wav,10-6-4,0.3048771568959217,126x4,4x212,10,0.05368849144516432,0.3794118257178037,0.010923300000285963,6,0.16997868054305854,0.17274474158630426,0.005027999999583699,4,0.38272891315056373,0.16321694081870172,0.0056211999981314875
