indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos
328,SNR_-8db,AS,New_AS_129.wav,28-10,DeepONMF_H2,2,0.4189851092993549,10x212,0.02030079998075962,28,0.3196467554283749,0.27276545815293496,0.015849499963223934,10,0.5942740297170976,0.20193174991681226,0.0035988999297842383
329,SNR_-8db,AS,New_AS_130.wav,28-10,DeepONMF_H2,2,0.4111288281979079,10x212,0.023438200005330145,28,0.3180734621085965,0.27469921031368,0.01856920006684959,10,0.5715834495441499,0.20063201559166458,0.0038163000717759132
330,SNR_-8db,AS,New_AS_131.wav,28-10,DeepONMF_H2,2,0.40716927507176287,10x212,0.02113799995277077,28,0.3159930488308576,0.2724535719833352,0.016091100056655705,10,0.5421358113909979,0.21664642460498926,0.004086200031451881
331,SNR_-8db,AS,New_AS_132.wav,28-10,DeepONMF_H2,2,0.4079838323096262,10x212,0.022565099992789328,28,0.31702179049102786,0.27946044901334915,0.017779499990865588,10,0.5587081538315973,0.21039257180694157,0.0038790000835433602
332,SNR_-8db,AS,New_AS_133.wav,28-10,DeepONMF_H2,2,0.41387504370908124,10x212,0.022590799955651164,28,0.3209005463670466,0.2819911675010475,0.018017099937424064,10,0.5542560567376669,0.2272242713966008,0.0035678999265655875
333,SNR_-8db,AS,New_AS_134.wav,28-10,DeepONMF_H2,2,0.4139009854400747,10x212,0.020413999911397696,28,0.31779841430369055,0.2759417437360138,0.015658600023016334,10,0.5934410688376317,0.24822583125857609,0.0039391000755131245
334,SNR_-8db,AS,New_AS_135.wav,28-10,DeepONMF_H2,2,0.32017544905308654,10x212,0.018503000028431416,28,0.24981178269283616,0.3067612569993569,0.013573399977758527,10,0.5319986036798265,0.16058307399002664,0.004013699945062399
335,SNR_-8db,AS,New_AS_136.wav,28-10,DeepONMF_H2,2,0.40729219178746084,10x212,0.022097000037319958,28,0.3173924931764279,0.28326044114465876,0.016575499903410673,10,0.5590390253470754,0.22918756628170872,0.0045427000150084496
336,SNR_-8db,AS,New_AS_137.wav,28-10,DeepONMF_H2,2,0.41457923345634845,10x212,0.02169960003811866,28,0.3224915525961038,0.2715314430330502,0.016545600024983287,10,0.5796500946193052,0.21954088280225684,0.003603000077418983
337,SNR_-8db,AS,New_AS_138.wav,28-10,DeepONMF_H2,2,0.40975789637005106,10x212,0.019389400025829673,28,0.31812015972816626,0.2779394722802133,0.014182599959895015,10,0.5732520050869101,0.2636284327880878,0.004063600092194974
338,SNR_-8db,AS,New_AS_139.wav,28-10,DeepONMF_H2,2,0.41179822258749743,10x212,0.022186300018802285,28,0.3222362176282647,0.26811905152739207,0.01760569994803518,10,0.5827067581834919,0.24114366588464237,0.003765300032682717
339,SNR_-8db,AS,New_AS_140.wav,28-10,DeepONMF_H2,2,0.31669682430432144,10x212,0.021250299992971122,28,0.2532456201058269,0.3219107897835029,0.01641889999154955,10,0.5293960011438815,0.22988959920338733,0.00389809999614954
340,SNR_-8db,AS,New_AS_141.wav,28-10,DeepONMF_H2,2,0.3181977124970823,10x212,0.022207600064575672,28,0.2528105172755695,0.31179542038251773,0.017794399987906218,10,0.5443533209027371,0.22497939392332994,0.0035973000340163708
341,SNR_-8db,AS,New_AS_142.wav,28-10,DeepONMF_H2,2,0.3110288919930424,10x212,0.020993900019675493,28,0.25055870332275615,0.32405628984802237,0.015552200027741492,10,0.5433683341612502,0.25039070239438505,0.004378700046800077
342,SNR_-8db,AS,New_AS_143.wav,28-10,DeepONMF_H2,2,0.4133013136980694,10x212,0.01914210000541061,28,0.3184277754341313,0.28268873396019806,0.014595100074075162,10,0.5628164806067307,0.20838214554715487,0.00361799995880574
