indice_interno,base,metodo,distribucion,numero_capas,penalizacion_ortogonal,sin_regularizacion,error_final,forma_h,forma_w,segundos
255,SNR_8db,ONMF,7,1,0.05,False,0.18763843117720677,7x212,126x7,0.025389599846675992
256,SNR_8db,ONMF,7,1,0.05,False,0.1985890856233077,7x212,126x7,0.02769270003773272
257,SNR_8db,ONMF,7,1,0.05,False,0.18725653935402564,7x212,126x7,0.024924499914050102
258,SNR_8db,ONMF,7,1,0.05,False,0.19530034028552137,7x212,126x7,0.024818999925628304
259,SNR_8db,ONMF,7,1,0.05,False,0.20420908782898242,7x212,126x7,0.02401509997434914
260,SNR_8db,ONMF,7,1,0.05,False,0.21047054348075447,7x212,126x7,0.026527500012889504
261,SNR_8db,ONMF,7,1,0.05,False,0.20203431907759212,7x212,126x7,0.02565140021033585
262,SNR_8db,ONMF,7,1,0.05,False,0.18288195126299073,7x212,126x7,0.024553600000217557
263,SNR_8db,ONMF,7,1,0.05,False,0.1959639287284641,7x212,126x7,0.024900899967178702
264,SNR_8db,ONMF,7,1,0.05,False,0.19079484873644834,7x212,126x7,0.02506320015527308
265,SNR_8db,ONMF,7,1,0.05,False,0.1860533166081983,7x212,126x7,0.02742299996316433
266,SNR_8db,ONMF,7,1,0.05,False,0.20863971456311545,7x212,126x7,0.02372350008226931
267,SNR_8db,ONMF,7,1,0.05,False,0.18954160825893368,7x212,126x7,0.02376360003836453
268,SNR_8db,ONMF,7,1,0.05,False,0.19890725191083333,7x212,126x7,0.02337909978814423
269,SNR_8db,ONMF,7,1,0.05,False,0.19381840462453945,7x212,126x7,0.02754599996842444
270,SNR_8db,ONMF,7,1,0.05,False,0.20889686461745247,7x212,126x7,0.024955700151622295
